id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
83,M,1.25,0.95,0.3375,16.9246515,6.67630725,3.5436875,5.2446575,10.0
84,F,1.5,1.1875,0.425,30.71668325,10.829509,5.74077375,9.2135875,16.0
85,I,0.4125,0.2625,0.0875,0.75126175,0.21262125,0.170097,0.12757275,4.0
86,F,1.5125,1.1625,0.4125,28.292801,12.757275,6.917278,7.93786,9.0
87,M,1.3875,1.05,0.3625,26.80445225,10.6877615,5.613201,7.087375,10.0
88,I,1.25,0.95,0.3125,14.67086625,7.55514175,2.96252275,4.1106775,7.0
89,I,0.95,0.6875,0.2375,7.144074,2.721552,1.51669825,2.26796,7.0
90,M,1.4875,1.1875,0.4125,31.68056625,14.401546,7.767763,7.484268,9.0
91,F,1.625,1.3,0.475,37.74735925,15.06775925,8.00873375,11.3398,11.0
92,F,1.6875,1.375,0.4625,47.400364,19.37688325,10.19164525,13.04077,11.0
93,F,1.7,1.35,0.4375,47.18774275,19.6462035,10.41844125,14.01882775,15.0
94,F,1.3375,1.05,0.3375,22.6796,8.77417025,5.79747275,7.087375,15.0
95,F,1.5,1.1375,0.4125,26.705229,11.75086775,5.99591925,7.83863675,9.0
96,F,1.5375,1.1875,0.425,34.5580405,13.834556,8.29222875,9.7805775,9.0
97,F,1.3625,1.025,0.325,20.41164,8.391452,4.479221,5.6699,11.0
98,M,1.6,1.25,0.3875,36.55668025,17.42076775,8.60407325,10.092422,11.0
99,F,1.425,1.1125,0.375,23.88445375,9.7238785,5.42892925,7.7961125,15.0
100,F,1.4375,1.1625,0.3375,27.555714,11.8784405,6.08096775,7.37087,12.0
101,M,1.2375,1.0,0.3125,17.36406875,8.561549,3.64291075,5.20213325,8.0
102,F,1.525,1.175,0.4,31.127751,14.47241975,6.747181,8.3631025,11.0
103,F,1.55,1.2125,0.4125,33.92017675,18.2287285,6.917278,8.9300925,9.0
104,M,1.4375,1.15,0.425,28.2077525,9.87980075,5.40057975,10.77281,11.0
105,I,0.9375,0.7,0.2125,5.71242425,2.05533875,1.51669825,1.984465,6.0
106,M,1.65,1.3125,0.45,39.41997975,16.386011,7.86698625,11.07047975,11.0
107,F,1.4875,1.1625,0.3875,29.97959625,13.99047825,7.0023265,7.767763,10.0
108,I,1.1375,0.8625,0.2625,13.437663,6.0384435,2.5231055,3.40194,8.0
109,M,1.6,1.25,0.45,43.87085125,21.16290175,8.40562675,12.757275,12.0
110,M,1.6375,1.2875,0.475,38.90968875,16.48523425,8.37727725,11.90679,11.0
111,I,1.4375,1.125,0.3,25.86891875,10.6877615,5.216308,7.5126175,10.0
112,I,1.175,0.9375,0.3125,14.35902175,6.10931725,2.96252275,4.53592,8.0
113,F,1.5625,1.275,0.4125,37.137845,15.06775925,7.12989925,12.8990225,11.0
114,I,1.275,0.975,0.3125,17.4349425,6.350288,3.4869885,5.20213325,9.0
115,M,1.5875,1.2125,0.45,35.98969025,17.973583,8.83086925,8.9300925,10.0
116,I,1.025,0.8125,0.25,8.23552975,3.98310475,1.80019325,2.551455,7.0
117,F,1.5125,1.1625,0.4,32.375129,10.81533425,7.7394135,10.3475675,14.0
118,I,1.0125,0.775,0.2625,11.5949455,7.78193775,2.53728025,2.664853,7.0
119,F,1.5125,1.1375,0.4,29.32755775,13.13999325,8.0229085,7.37087,9.0
120,F,1.45,1.15,0.45,39.19318375,20.0430965,8.1930055,8.3631025,26.0
121,M,1.3375,1.05,0.3375,22.92057075,11.38232425,5.08873525,5.6699,8.0
122,M,1.4,1.075,0.325,22.1976585,9.525432,5.68407475,6.23689,9.0
123,F,1.5625,1.1875,0.4125,30.71668325,13.2959155,4.6776675,8.0796075,16.0
124,M,1.6125,1.25,0.4625,37.98833,16.0174675,8.54737425,8.9300925,13.0
125,I,1.2,0.975,0.3,15.0535845,6.67630725,3.10427025,4.819415,9.0
126,I,0.5,0.3875,0.1125,0.75126175,0.2551455,0.18427175,0.2551455,4.0
127,F,1.375,1.075,0.325,22.15513425,10.33339275,5.556502,6.6621325,11.0
128,M,1.325,1.0625,0.4,20.0430965,8.23552975,4.18155125,6.9456275,8.0
129,I,1.15,0.9,0.3375,11.7650425,4.29494925,2.67902775,4.12485225,8.0
130,I,1.0375,0.8,0.25,10.9145575,4.49339575,2.90582375,3.2601925,9.0
131,F,1.2125,0.925,0.375,18.1153305,5.6982495,3.7704835,6.80388,11.0
132,I,1.025,0.8,0.2625,10.58853825,4.40834725,2.11203775,2.83495,7.0
133,F,1.2875,0.975,0.3625,20.25571775,8.7032965,5.25883225,6.23689,9.0
134,M,1.275,1.025,0.35,19.43358225,8.3064035,4.32329875,5.20213325,10.0
135,I,0.9375,0.6875,0.25,6.59125875,2.7499015,1.190679,1.8427175,6.0
136,I,1.35,1.0375,0.3375,20.22736825,9.99319875,4.49339575,5.10291,9.0
137,F,1.5125,1.225,0.4,34.62891425,16.4143605,7.41339425,9.355335,13.0
138,F,1.575,1.2,0.4,29.880373,14.7133905,7.0023265,8.6465975,10.0
139,M,1.525,1.15,0.375,32.2333815,15.025235,7.0023265,8.9300925,10.0
140,F,1.5625,1.25,0.4375,36.86852475,17.08057375,7.1724235,11.056305,12.0
141,I,1.2625,0.975,0.3,18.540573,8.88756825,3.7137845,4.819415,8.0
142,I,1.0625,0.775,0.25,11.38232425,4.89028875,2.11203775,2.83495,7.0
143,M,1.5625,1.2,0.4625,35.0116325,16.3009625,7.27164675,9.07184,12.0
144,M,1.45,1.125,0.4375,24.84833675,11.396499,5.79747275,7.087375,9.0
145,M,1.525,1.2,0.4125,34.9549335,15.80484625,7.654365,8.60407325,10.0
146,M,1.6,1.2,0.4,33.5374585,14.4298955,7.767763,9.63883,12.0
147,M,1.3125,1.0625,0.35,20.00057225,9.42620875,4.46504625,5.953395,9.0
148,F,1.5625,1.225,0.3625,31.071052,13.5227115,7.15824875,9.7805775,10.0
149,M,1.375,1.1,0.375,26.251637,10.489315,6.78970525,7.83863675,10.0
150,I,1.35,1.075,0.3625,22.92057075,8.54737425,5.48562825,7.7961125,15.0
151,F,1.4375,1.1375,0.4,24.6357155,10.90038275,6.16601625,7.37087,9.0
152,F,1.1375,0.8875,0.3125,15.49300175,6.59125875,3.04757125,4.15320175,12.0
153,I,0.9875,0.75,0.3,8.23552975,3.89805625,1.70097,2.6932025,6.0
154,I,0.7,0.525,0.1625,2.76407625,1.1623295,0.5386405,0.850485,5.0
155,M,1.4375,1.125,0.35,24.1821235,11.623295,4.989512,6.23689,8.0
156,I,1.55,1.2125,0.3875,32.33260475,14.72756525,7.52679225,8.788345,9.0
157,I,0.7375,0.575,0.225,3.6003865,1.360776,0.80796075,1.13398,6.0
158,I,0.85,0.6625,0.2125,5.0745605,2.1829115,1.11980525,1.5592225,6.0
159,M,1.325,1.0375,0.45,20.638436,9.85145125,4.15320175,6.3786375,10.0
160,M,1.6125,1.25,0.425,36.35823375,17.93105875,7.86698625,9.4970825,9.0
161,I,0.7125,0.525,0.2,2.83495,1.17650425,0.623689,0.963883,6.0
162,F,1.4625,1.125,0.4,28.2644515,11.113004,7.27164675,8.3631025,11.0
163,I,0.9,0.6875,0.225,6.066793,2.721552,1.14815475,1.8427175,7.0
164,I,1.2625,0.9375,0.3125,16.40018575,7.35669525,4.06815325,5.2446575,10.0
165,F,1.125,0.8875,0.3,14.3731965,6.02426875,2.9766975,3.96893,8.0
166,M,1.4375,1.1125,0.375,24.9192105,9.355335,5.8116475,9.2135875,10.0
167,F,1.5,1.175,0.425,29.9087225,10.659412,6.25106475,8.788345,10.0
168,I,1.425,1.0625,0.3375,21.72989175,9.298636,4.9044635,6.23689,9.0
169,M,1.375,1.1125,0.375,26.03901575,9.525432,6.7188315,8.3631025,17.0
170,I,0.4,0.3,0.0625,0.5953395,0.21262125,0.12757275,0.1417475,4.0
171,M,1.675,1.3125,0.5,42.2124055,18.32795175,8.71747125,10.489315,11.0
172,F,1.3,0.9875,0.3125,18.030282,7.93786,4.422522,4.252425,10.0
173,F,1.4625,1.225,0.4,31.19862475,11.18387775,7.15824875,9.42620875,13.0
174,I,0.7375,0.55,0.1875,3.515338,1.474174,1.1056305,0.9922325,5.0
175,I,0.5625,0.4,0.125,1.31825175,0.49611625,0.4252425,0.4252425,4.0
176,I,1.025,0.8125,0.25,9.4970825,4.32329875,2.11203775,2.83495,6.0
177,F,1.725,1.35,0.4625,51.2275465,23.28911425,11.15552825,12.40290625,11.0
178,M,1.35,1.0125,0.325,20.00057225,8.788345,5.42892925,5.953395,9.0
179,I,0.8875,0.65,0.225,9.525432,4.2807745,1.77184375,2.4097075,7.0
180,I,0.975,0.75,0.25,7.144074,3.01922175,1.6726205,2.26796,7.0
181,M,1.5625,1.1875,0.4875,31.694741,14.4298955,8.12213175,9.63883,10.0
182,I,0.825,0.65,0.225,5.443104,2.25378525,1.54504775,1.984465,5.0
183,F,1.425,1.15,0.35,27.71163625,10.8011595,6.010094,8.0796075,10.0
184,M,1.4,1.1,0.375,25.344453,12.927372,5.62737575,7.07320025,9.0
185,M,1.4125,1.1375,0.4,24.38057,8.88756825,4.77689075,7.7961125,9.0
186,M,1.025,0.7625,0.2375,7.6827145,2.721552,1.7293195,2.4097075,9.0
187,F,1.6,1.2875,0.4375,35.50774875,16.85377775,7.3425205,9.355335,9.0
188,F,1.675,1.3125,0.4625,39.02308675,20.36911575,9.99319875,9.355335,11.0
189,M,1.55,1.2125,0.3875,34.5013415,15.30873,7.6827145,7.9095105,11.0
190,F,1.425,1.175,0.3875,30.14969325,13.6928085,6.22271525,7.2291225,8.0
191,I,1.0375,0.775,0.2125,10.149121,4.706017,1.8994165,2.9766975,7.0
192,F,1.5625,1.2,0.375,31.62386725,15.97494325,6.44951125,8.9300925,11.0
193,M,1.475,1.125,0.3875,24.153774,10.56018875,4.9044635,7.5126175,9.0
194,I,1.3125,1.0,0.3,18.52639825,8.6465975,3.72795925,4.6776675,9.0
195,I,0.8625,0.6375,0.2,5.3580555,2.3530085,1.3324265,1.5592225,7.0
196,I,0.9375,0.725,0.2375,6.70465675,2.31048425,1.43164975,2.1262125,6.0
197,F,1.625,1.3125,0.4625,43.02036625,22.01338675,10.56018875,12.190285,11.0
198,M,1.6125,1.25,0.45,42.354153,15.762322,9.468733,13.60776,13.0
199,I,0.9,0.7,0.225,5.613201,2.778251,1.1056305,1.757669,7.0
200,M,1.3125,1.0,0.375,21.87163925,8.3064035,4.55009475,5.5281525,10.0
201,M,1.5375,1.175,0.4125,32.2333815,13.73533275,7.78193775,9.82310175,12.0
202,F,1.675,1.3625,0.4625,43.6298805,15.37960375,8.60407325,13.04077,12.0
203,M,1.4875,1.175,0.425,31.22697425,15.03940975,5.40057975,9.922325,15.0
204,F,1.45,1.125,0.4375,24.94756,11.963489,5.6415505,6.9456275,9.0
205,M,1.4,1.1125,0.3375,23.85610425,9.6671795,3.9972795,7.01650125,13.0
206,F,1.7375,1.4125,0.4875,47.230267,19.9863975,11.963489,12.8990225,11.0
207,F,1.3,0.9375,0.3125,17.4349425,7.37087,3.8838815,4.9611625,10.0
208,I,1.0875,0.8375,0.275,10.98543125,4.932813,2.05533875,3.40194,7.0
209,I,0.6875,0.5125,0.1625,2.8632995,1.26155275,0.69456275,0.9922325,5.0
210,F,1.6125,1.275,0.3875,35.62114675,14.04717725,7.49844275,9.2135875,11.0
211,I,1.45,1.0875,0.375,23.870279,9.7238785,3.9405805,6.87475375,11.0
212,M,1.5875,1.25,0.4375,36.78347625,17.22232125,8.54737425,9.922325,11.0
213,M,1.6125,1.25,0.4375,35.50774875,16.85377775,7.3425205,11.056305,13.0
214,M,0.9,0.65,0.2375,6.463686,2.56562975,0.963883,1.871067,9.0
215,M,1.4625,1.1625,0.35,31.19862475,11.7650425,6.44951125,8.0796075,16.0
216,I,0.625,0.475,0.15,2.50893075,1.17650425,0.52446575,0.850485,5.0
217,M,1.375,1.1,0.325,23.51591025,10.41844125,4.4508715,5.5281525,8.0
218,I,1.15,0.925,0.3,14.75591475,7.52679225,2.56562975,4.1106775,7.0
219,M,1.425,1.125,0.3875,25.2027055,10.8011595,5.783298,8.788345,13.0
220,M,1.0875,0.8375,0.2875,11.94931425,4.9611625,2.494756,3.8271825,8.0
221,M,1.4625,1.1875,0.425,31.978236,10.61688775,6.67630725,10.0640725,13.0
222,I,0.425,0.3125,0.1125,0.8221355,0.396893,0.15592225,0.1417475,5.0
223,F,1.45,1.15,0.375,30.34813975,13.2959155,6.860579,8.9300925,9.0
224,M,1.325,1.05,0.3125,20.41164,8.40562675,4.01145425,6.3786375,9.0
225,M,1.525,1.15,0.3875,29.7386255,13.13999325,5.57067675,7.72523875,10.0
226,M,1.2875,0.975,0.3125,16.93882625,6.84640425,3.72795925,5.10291,9.0
227,M,1.3,1.0125,0.375,24.08290025,14.911837,4.876114,5.8116475,9.0
228,F,1.1,0.875,0.2875,11.77921725,4.0539785,2.608154,3.5436875,9.0
229,M,1.4625,1.2,0.4375,33.6508565,18.1153305,6.7755305,8.50485,9.0
230,M,1.525,1.2375,0.425,34.699788,15.1669825,7.52679225,10.6310625,10.0
231,F,1.475,1.125,0.4125,30.71668325,9.90815025,5.20213325,8.50485,15.0
232,F,1.725,1.375,0.4875,47.18774275,20.62426125,10.24834425,11.623295,10.0
233,I,1.1625,0.8875,0.3,13.05494475,5.08873525,3.118445,3.5436875,7.0
234,I,1.225,0.975,0.3125,18.10115575,8.6465975,3.01922175,5.5281525,8.0
235,I,1.1375,0.8875,0.3125,12.5021295,5.37223025,3.118445,4.1106775,6.0
236,F,1.4625,1.15,0.4,26.12406425,11.679994,5.3013565,8.51902475,8.0
237,M,1.475,1.175,0.3875,32.10580875,14.0330025,5.40057975,9.922325,26.0
238,M,1.15,0.9375,0.2875,13.664459,5.6699,3.061746,4.53592,10.0
239,I,1.0125,0.75,0.225,11.3681495,4.252425,2.08368825,2.5798045,10.0
240,I,1.0875,0.8,0.275,8.448151,3.912231,1.814368,2.9766975,9.0
241,I,1.075,0.8125,0.25,11.7083435,5.28718175,2.65067825,2.7499015,7.0
242,I,1.075,0.85,0.275,10.035723,4.63514325,2.5231055,3.40194,7.0
243,I,1.2125,0.8875,0.3375,15.6205745,6.76135575,3.10427025,4.5642695,8.0
244,F,1.575,1.2625,0.425,37.32211675,17.98775775,8.80251975,11.4815475,12.0
245,I,1.3,1.0375,0.4,22.1976585,9.525432,4.4508715,7.37087,11.0
246,I,0.8,0.5125,0.175,3.515338,1.2757275,0.94970825,0.8221355,6.0
247,I,1.1,0.8375,0.3,10.4042665,4.32329875,2.438057,3.5436875,7.0
248,I,0.5,0.3625,0.1375,1.6159215,0.49611625,0.35436875,0.4252425,4.0
249,F,1.6,1.225,0.425,34.79901125,15.06775925,8.278054,9.2135875,11.0
250,I,0.7,0.525,0.15,2.8632995,1.2757275,0.72291225,0.850485,5.0
251,F,1.6,1.2875,0.5,36.967748,16.51358375,7.01650125,12.757275,13.0
252,F,1.55,1.3,0.4625,39.179009,12.48795475,8.674947,10.4042665,11.0
253,I,1.3875,1.125,0.3375,22.11261,9.525432,4.7910655,6.520385,10.0
254,M,1.675,1.3125,0.4625,39.87357175,19.37688325,9.39785925,11.623295,11.0
255,M,1.6875,1.3625,0.5375,48.477645,18.200379,7.52679225,13.0691195,11.0
256,I,1.0375,0.8125,0.3,8.901743,3.67126025,2.4097075,2.93417325,8.0
257,M,1.675,1.3125,0.45,41.4753185,16.48523425,8.901743,11.623295,11.0
258,F,1.4125,1.1,0.375,24.9192105,9.68135425,4.01145425,7.2291225,8.0
259,F,1.5625,1.1875,0.4,37.1094955,16.6411565,9.34116025,10.0640725,11.0
260,F,1.625,1.25,0.4375,36.1456125,16.96717575,7.86698625,10.489315,9.0
261,I,1.075,0.825,0.25,9.07184,4.32329875,1.644271,2.9766975,7.0
262,F,1.525,1.175,0.475,34.65726375,13.9763035,7.01650125,11.623295,10.0
263,F,1.5625,1.2875,0.5375,42.354153,14.10387625,7.711064,11.623295,19.0
264,I,0.9375,0.7125,0.2375,7.92368525,3.75630875,1.88524175,2.1262125,7.0
265,I,1.1,0.85,0.25,10.8011595,4.025629,2.26796,3.2601925,8.0
266,I,0.95,0.7625,0.2375,7.49844275,3.55786225,1.587572,2.551455,7.0
267,I,0.8625,0.6375,0.1875,5.28718175,2.22543575,1.00640725,1.417475,6.0
268,M,1.2,0.8875,0.3125,15.94659375,7.04485075,3.07592075,4.9611625,8.0
269,I,1.05,0.8,0.275,10.73028575,4.309124,2.2396105,3.2601925,9.0
270,F,1.4375,1.1375,0.4,26.2232875,10.9712565,5.68407475,7.7961125,12.0
271,M,1.45,1.15,0.3625,26.1098895,12.643877,4.6209685,8.221355,9.0
272,I,1.0375,0.8125,0.2625,10.95708175,4.46504625,2.097863,3.40194,7.0
273,F,1.5625,1.175,0.425,38.88133925,21.72989175,7.3992195,8.6465975,12.0
274,M,1.225,0.975,0.3125,18.38465075,7.711064,4.86193925,5.2446575,9.0
275,M,1.575,1.275,0.4125,30.12134375,13.8062065,7.7394135,7.7961125,11.0
276,F,1.3,1.05,0.4125,27.9242575,7.44174375,7.257472,8.1363065,16.0
277,M,1.3125,1.0,0.3625,18.5689225,8.09378225,3.92640575,5.2446575,11.0
278,I,0.575,0.4125,0.125,1.45999925,0.66621325,0.26932025,0.43941725,5.0
279,M,1.325,1.05,0.3625,19.901349,7.994559,4.37999775,6.0951425,11.0
280,F,1.85,1.4875,0.5,49.17220775,21.78659075,9.241937,16.44271,11.0
281,I,1.2625,0.9875,0.2625,18.58309725,8.60407325,3.72795925,4.592619,8.0
282,I,0.975,0.75,0.225,7.2858215,3.13261975,1.6159215,2.26796,6.0
283,I,0.9,0.675,0.2375,5.5281525,1.88524175,1.2757275,2.1262125,7.0
284,I,0.8375,0.6,0.2,4.37999775,1.871067,1.247378,1.5592225,5.0
285,F,1.5,1.175,0.375,28.2644515,12.11941125,6.973977,8.164656,9.0
286,I,0.6875,0.5125,0.1625,2.82077525,1.13398,0.66621325,0.97805775,8.0
287,I,0.8125,0.5,0.225,3.92640575,1.74349425,0.680388,1.03475675,8.0
288,M,1.625,1.2875,0.375,34.06192425,17.44911725,7.41339425,8.50485,10.0
289,F,1.775,1.425,0.5,51.95045875,23.94115275,11.2547515,12.757275,11.0
290,F,1.175,0.9375,0.3125,15.3937785,6.123492,2.73572675,4.819415,9.0
291,F,1.575,1.275,0.475,38.90968875,13.380964,8.37727725,11.90679,18.0
292,F,1.45,1.1875,0.4,30.730858,12.82814875,5.96756975,8.788345,12.0
293,I,0.675,0.4875,0.1625,3.30271675,1.43164975,0.77961125,0.9922325,9.0
294,I,1.375,1.0625,0.35,26.80445225,11.679994,5.556502,7.824462,8.0
295,I,0.7,0.5125,0.2,2.381358,0.97805775,0.60951425,0.850485,6.0
296,F,1.1,0.8625,0.2875,10.02154825,4.29494925,2.45223175,3.5436875,8.0
297,F,1.4,1.0625,0.3625,23.7285315,9.56795625,4.7343665,6.520385,8.0
298,M,1.3875,1.1,0.3875,24.720764,10.21999475,4.86193925,7.8528115,10.0
299,I,0.875,0.6625,0.2125,5.1312595,1.63009625,1.00640725,1.70097,6.0
300,I,0.8375,0.65,0.2,5.23048275,2.494756,1.06310625,1.70097,7.0
301,M,1.675,1.325,0.5,48.477645,16.45688475,8.4765005,13.324265,16.0
302,M,1.1,0.8625,0.275,12.99824575,5.23048275,2.67902775,3.685435,10.0
303,I,1.4375,1.125,0.3875,24.87668625,12.23280925,6.53455975,6.80388,8.0
304,M,1.175,0.9375,0.3375,16.68368075,7.087375,3.24601775,4.819415,9.0
305,M,1.3,1.0875,0.375,22.77882325,9.6671795,4.52174525,6.066793,8.0
306,F,1.55,1.175,0.4875,37.1094955,11.24057675,8.88756825,13.324265,16.0
307,I,1.1375,0.8875,0.3125,13.1258185,5.37223025,3.50116325,3.5436875,8.0
308,I,0.9,0.675,0.2125,5.556502,2.48058125,0.86465975,1.530873,6.0
309,F,1.5125,1.2,0.475,33.40988575,12.82814875,7.767763,11.056305,16.0
310,M,1.325,1.05,0.35,21.035329,8.334753,4.422522,6.23689,9.0
311,I,0.725,0.525,0.175,3.24601775,1.17650425,0.623689,0.97805775,5.0
312,M,1.3,1.0,0.3125,16.896302,7.540967,3.64291075,4.819415,8.0
313,F,1.1625,0.9125,0.2875,12.6722265,5.06038575,2.93417325,3.96893,10.0
